    | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:00:19,094 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:01:51,368 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:01:51,493 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:04:30,567 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:04:30,676 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:05:40,704 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:05:40,829 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:06:16,038 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:06:16,272 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:12:10,159 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:12:10,284 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:12:10,284 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:13:19,064 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:13:19,189 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:14:30,372 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:14:30,497 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:14:57,017 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:14:57,017 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:15:19,075 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:15:19,200 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:18:02,096 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:18:02,205 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:19:32,014 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:19:32,139 | INFO     | client | Была вызвана функция process_ans с параметрами ({'message_text': 'test'},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:19:32,139 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:20:51,980 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:20:52,105 | INFO     | client | Была вызвана функция process_ans с параметрами ({'message_text': 'test'},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 16:20:52,105 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
