2020-07-10 10:49:40,307 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:49 39', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:49:40,312 | INFO     | server | 200 : OK
2020-07-10 10:49:40,325 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:49 39', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:49:40,493 | INFO     | server | 200 : OK
2020-07-10 10:49:40,496 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:49 40', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:49:40,942 | INFO     | server | 200 : OK
2020-07-10 10:49:40,944 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:49 40', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:53:48,990 | INFO     | server | 200 : OK
2020-07-10 10:53:48,991 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:53 48', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:53:48,992 | INFO     | server | 200 : OK
2020-07-10 10:53:48,993 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:53 48', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:53:49,248 | INFO     | server | 200 : OK
2020-07-10 10:53:49,250 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:53 48', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:53:49,272 | INFO     | server | 200 : OK
2020-07-10 10:53:49,273 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:53 49', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:53:49,446 | INFO     | server | 200 : OK
2020-07-10 10:53:49,479 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:53 49', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:53:49,606 | INFO     | server | 200 : OK
2020-07-10 10:53:49,607 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:53 49', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:53:49,608 | INFO     | server | 200 : OK
2020-07-10 10:53:49,610 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:53 49', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:00:17,404 | INFO     | server | 200 : OK
2020-07-10 11:00:17,406 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:00 17', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:00:17,895 | INFO     | server | 200 : OK
2020-07-10 11:00:17,898 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:00 17', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:00:17,923 | INFO     | server | 200 : OK
2020-07-10 11:00:17,925 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:00 17', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:00:17,926 | INFO     | server | 200 : OK
2020-07-10 11:00:17,929 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:00 17', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:00:18,185 | INFO     | server | 200 : OK
2020-07-10 11:00:18,187 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:00 17', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:00:18,189 | INFO     | server | 200 : OK
2020-07-10 11:00:18,192 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:00 18', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:00:18,270 | INFO     | server | 200 : OK
2020-07-10 11:00:18,272 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:00 18', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:07,117 | INFO     | server | 200 : OK
2020-07-10 11:06:07,119 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 06', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:07,120 | INFO     | server | 200 : OK
2020-07-10 11:06:07,122 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 06', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:07,836 | INFO     | server | 200 : OK
2020-07-10 11:06:07,838 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 07', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:07,852 | INFO     | server | 200 : OK
2020-07-10 11:06:07,996 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 07', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:08,234 | INFO     | server | 200 : OK
2020-07-10 11:06:08,236 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 08', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:08,810 | INFO     | server | 200 : OK
2020-07-10 11:06:08,814 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 08', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:08,932 | INFO     | server | 200 : OK
2020-07-10 11:06:08,934 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 08', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:51,736 | INFO     | server | 200 : OK
2020-07-10 11:06:51,738 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 50', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:51,743 | INFO     | server | 200 : OK
2020-07-10 11:06:51,745 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 50', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:51,891 | INFO     | server | 200 : OK
2020-07-10 11:06:51,893 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 51', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:51,955 | INFO     | server | 200 : OK
2020-07-10 11:06:51,959 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 51', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:51,964 | INFO     | server | 200 : OK
2020-07-10 11:06:51,966 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 11:06 51', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 11:06:52,043 | INFO     | server | 200 : OK
